"1.1a  Bevolking buurten, 1 januari 2014-2018",,,,,,,
,,,,,2018,,
N71e Cornelis Douwesterrein,17,18,23,2,1,1,-
N71f NDSM terrein,414,414,408,774,1174,599,575
N71g Buiksloterham,23,28,31,40,182,93,89
N71h Overhoeks,704,843,929,1098,1361,717,644
N72a Bedrijventerrein Hamerstraat,98,123,143,175,280,176,104
N72b Zamenhofstraat e.o.,4,5,6,12,13,9,4
N72c Bedrijventerrein Nieuwendammerdijk,14,14,15,21,23,13,10
N73a Schellingwoude West,66,69,74,77,68,36,32
N73b Schellingwoude Oost,593,600,604,595,606,294,312
N73c Schellingwoude Noord,6,6,6,6,6,3,3
N73d Durgerdam,491,498,504,493,496,259,237
N73e Zwarte Gouw,13,13,12,11,24,14,10
