HOTELNAAM_2014,NHC_2014,KAM_2014,BED_2014,STRAAT_2014,HUISID_2014,POSTCODE_2014,BRTK10,unesco,Soort_hotel_hostel/ jeugdherberg
VONDEL HOTEL,4,86,163,VONDELSTRAAT,26,1054GE,E22a,,hotel
ROBERTRAMON HOTEL,3,51,90,P CORNELISZ HOOFTSTR,24-28,1071BX,K47b,,hotel
PRINSENHOF HOTEL,1,11,23,PRINSENGRACHT,810,1017JL,A07g,K,hotel
LIBERTY HOTEL,0,4,9,SINGEL,5,1012VC,A01b,K,hotel
ORANJE TULP,2,16,44,DAMRAK,32,1012LK,A01e,B,hotel
WEST SIDE INN HOTEL,3,232,501,VOORBURGSTRAAT,250,1059VD,F87c,,hotel
"GLOBE, HOTEL DE",0,25,124,OUDEZIJDS VOORBURGWAL,3,1012EH,A00a,B,hotel
NES HOTEL,3,39,71,KLOVENIERSBURGWAL,137-139,1011KE,A04h,B,hotel
CAMPANILE AMSTERDAM Z.O. HOTEL,3,74,148,LOOSDRECHTDREEF,3,1108AX,T95b,,hotel
"CITY CENTRE,NH",3,209,438,SPUISTRAAT,288-292,1012VX,A01f,K,hotel
BASTION HOTEL AMSTERDAM CENTRUM-NOORD,3,68,136,RODE KRUISSTRAAT,28,1025KN,N69a,,hotel
ESTHEREA HOTEL,4,92,192,SINGEL,303-309,1012WJ,A01f,K,hotel
CITADEL HOTEL,3,38,74,NIEUWEZIJDS VOORBURGWAL,98-100,1012SG,A01d,B,hotel
WESTCORD CITY CENTRE HOTEL AMSTERDAM,3,106,219,NIEUWEZIJDS VOORBURGWAL,50,1012SC,A01d,B,hotel
BACKSTAGE HOTEL,2,22,55,LEIDSEGRACHT,114,1016CT,A06j,B,hotel
IBIS STYLES AMSTERDAM AMSTEL,3,45,82,STADHOUDERSKADE,131,1074AW,K24a,,hotel
AMBASSADE HOTEL,4,59,117,HERENGRACHT,341,1016AZ,A02c,K,hotel
ABBA HOTEL,1,36,76,OVERTOOM,118-120,1054HM,E20b,,hotel
BARBACAN HOTEL,2,22,36,PLANTAGE MUIDERGRACHT,89,1018TN,A08c,B,hotel
BEURSSTRAAT HOTEL,1,49,105,BEURSSTRAAT,7-9,1012JT,A00b,B,hotel
"QUENTIN-ENGELAND HOTEL,THE",0,31,65,ROEMER VISSCHERSTRAAT,30,1054EZ,E22a,,hotel
APOLLOFIRST A HAMPSHIRE CLASSIC HOTEL,4,37,74,APOLLOLAAN,123-125,1077AP,K49d,,hotel
AALBORG HOTEL,3,36,84,SARPHATIPARK,106-108,1073EC,K25b,,hotel
ALLURE HOTEL,3,18,36,SARPHATISTRAAT,117,1018GB,A08b,B,hotel
"GOLDEN REGAL HOTEL,THE",2,13,27,KORTE VAN EEGHENSTRAAT,8,1071ER,K47c,,hotel
"CONVENT HOTEL AMSTERDAM, THE",4,148,296,NIEUWEZIJDS VOORBURGWAL,67,1012RE,A01e,B,hotel
FLORIS FRANCE HOTEL,3,55,123,OUDEZIJDS KOLK,11,1012AL,A00a,B,hotel
MARIANNE HOTEL,3,12,19,NICOLAAS MAESSTRAAT,107,1071PV,K47f,,hotel
CENTRE HOTEL,0,17,72,NICOLAAS ANSLIJNSTRAAT,87,1068WS,F81c,,hotel
JUPITER HOTEL,3,20,43,TWEEDE HELMERSSTRAAT,14,1054CJ,E20a,,hotel
KING HOTEL,2,26,48,LEIDSEKADE,85-86,1017PN,A07b,B,hotel
GRAND HOTEL AMRÂTH AMSTERDAM,5,165,385,PRINS HENDRIKKADE,108,1011AK,A04b,B,hotel
REMBRANDT SQUARE HOTEL,1,22,44,REMBRANDTPLEIN,24,1016BJ,A02c,K,hotel
BLUE TOWER,4,188,421,LEEUWENDALERSWEG,21,1055JE,E37c,,hotel
STAYOKAY ZEEBURG,0,92,478,TIMORPLEIN,21,1094CC,M31a,,hostel/ jeugdherberg
BORGMANN VILLA HOTEL,3,15,31,KONINGSLAAN,48,1075AE,K46c,,hotel
IBIS AMSTERDAM CITY WEST,3,180,380,TRANSFORMATORWEG,36,1014AK,B11g,,hotel
KAP HOTEL,2,13,27,DEN TEXSTRAAT,5B,1017XW,A07f,B,hotel
The Poet Hotel,2,64,128,JAN LUIJKENSTRAAT,40-44,1071CR,K47b,,hotel
CORNER HOUSE HOTEL,0,19,31,NIEUWEZIJDS VOORBURGWAL,121,1012RH,A01e,B,hotel
"TOWNHOUSE HOTEL, THE",0,10,20,PRINSENGRACHT,816,1017JL,A07g,K,hotel
TRIANON HOTEL VOF,2,42,91,JAN WILLEM BROUWERSSTR,3-7,1071LH,K47c,,hotel
VAN BONGA HOTEL-PENSION,2,17,34,HOLBEINSTRAAT,1,1077VB,K49f,,hotel
GALERIJ HOTEL,0,19,40,RAADHUISSTRAAT,43,1016DD,A02c,K,hotel
ACCA INTERNATIONAL HOTEL,0,45,80,VAN DE VELDESTRAAT,3A,1071CW,K47b,,hotel
IRISH PUB DURTY NELLY'S INN,0,10,66,WARMOESSTRAAT,115-117,1012JA,A00b,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
CENTRAAL HOSTEL,0,14,51,PLANTAGE KERKLAAN,19,1018SZ,A08c,B,hostel/ jeugdherberg
BILDERBERG HOTEL JAN LUYKEN,4,62,113,JAN LUIJKENSTRAAT,58,1071CS,K47b,,hotel
M-HOTEL MUSEUMPLEIN,3,17,34,FRANS VAN MIERISSTRAAT,34,1071RT,K47a,,hotel
HEMP HOTEL/EETCAFE AMSTERDAM,1,5,9,FREDERIKSPLEIN,15,1017XK,A07g,B,hotel
