,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
46,60.0,Dusk time shoots next to the office #amsterdam #amsterdamcanals @ Amstelstation https://t.co/9XIXc7JIY8,2019-06-18,tourist,4.91786227,52.34661989999999,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
47,61.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Vrijheidslaan Amsterdam
 https://t.co/SrZJuorl8s",2019-06-15,non-tourist,4.9071370000000005,52.346768,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
48,62.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kruislaan Amsterdam
 https://t.co/Mvy68MWuOt",2019-06-17,non-tourist,4.9393769999999995,52.347288,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
49,63.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kruislaan Amsterdam
 https://t.co/kOS3VsuXDB",2019-06-24,non-tourist,4.9393769999999995,52.347288,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
50,64.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-02 Brand Woning (Middel Brand) (Slachtoffers: ) (Dak) , Nico Jessekade Amsterdam
 https://t.co/GwVWll8Vtm",2019-06-19,non-tourist,5.0041476,52.347924,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
51,65.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Prins Bernhardplein Amsterdam
 https://t.co/o30pqAtbC7",2019-06-22,non-tourist,4.91782,52.348275,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
52,66.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amstelkade Amsterdam
 https://t.co/JyyRnic5Ev",2019-06-15,non-tourist,4.907312999999999,52.349277,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
53,67.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Beethovenstraat Amsterdam
 https://t.co/iRhAbFFKDn",2019-06-18,non-tourist,4.877459,52.349384,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
54,68.0,BuzzMaster mist een enthousiaste online branding &amp; marketing stagiaire! Wie komt deze stage vacature vervullen? <U+2600><U+FE0F> https://t.co/RG8NheBJB4,2019-06-24,non-tourist,4.9221,52.349559899999996,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
55,69.0,"@TeamNM2D is vandaag lekker aan het voetballen bij de @adfocup 
Mocht je in de buurt zijn van de Zuidas, een beetje https://t.co/WwZPyTLvpj",2019-06-15,non-tourist,4.94837123,52.34964534,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
56,70.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Van Hilligaertstraat Amsterdam
 https://t.co/5UZ3yYB5mQ",2019-06-16,non-tourist,4.8871400000000005,52.349725,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
57,71.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Van Hilligaertstraat Amsterdam
 https://t.co/vrsr2pnRqG",2019-06-16,non-tourist,4.8871400000000005,52.349725,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
58,72.0,"I can't come here without pictures of bodies of water <U+0001F30A><U+26F4><U+FE0F>
.
.
.
.
#amsterdam #canals #ferry #nightsight https://t.co/WzcogPXADE",2019-06-17,tourist,4.91844964,52.34993789999999,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
59,74.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/QTHZXNuUeg",2019-06-16,non-tourist,4.788562000000001,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
60,75.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/eqgSZgfx6v",2019-06-16,non-tourist,4.788562000000001,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
61,76.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Pieter Calandlaan Amsterdam
 https://t.co/dgOwedKGQ3",2019-06-24,non-tourist,4.788562000000001,52.349978,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
62,77.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Rijswijkstraat Amsterdam
 https://t.co/fAGsSXfFTi",2019-06-19,non-tourist,4.84307,52.350075,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
63,78.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Rijswijkstraat Amsterdam
 https://t.co/ZWIdWnZWaf",2019-06-19,non-tourist,4.84307,52.350075,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
64,79.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-02 Brand Woning (Middel Brand) (Slachtoffers: ) , Stolwijkstraat Amsterdam
 https://t.co/P8uOSPRP10",2019-06-20,non-tourist,4.84845,52.350565,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
65,80.0,"Vrijmicava <U+0001F942> Met zaaaaalige tapas <U+0001F483><U+0001F3FC> Aanradertje! .
.
#cavataria #cava #findesemana #cheerstotheweekend #hiddengem https://t.co/QGNlzyE2YO",2019-06-21,tourist,4.863230000000001,52.3511499,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
66,81.0,LOL #TBT DeShun with HAIR! <U+0001F466><U+0001F3FE> Hahahahahaha man my waves <U+0001F30A> were CRAZY! My Brother from Another Mother https://t.co/JAI0XJBz04,2019-06-20,tourist,4.87202,52.35143,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
67,82.0,#Lifeliner1 A1 13991 Rit 73577 #AMSTERDAM Anton Holzelsingel 1069PP,2019-06-23,non-tourist,4.786879,52.351676,amsterdam,"<a href=""http://www.waarisdebrand.nl"" rel=""nofollow"">widb-twit</a>"
68,83.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Bedrijf/Instelling Reijnier Vinkeleskade Amsterdam
 https://t.co/mjPbuQMTvz",2019-06-19,non-tourist,4.87636,52.351975,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
69,84.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Delflandlaan Amsterdam
 https://t.co/xzyS6lyASp",2019-06-20,non-tourist,4.840778,52.352315000000004,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
70,85.0,... This ramen is beyond beautiful! ... #japanese #asianfood #ramen #spicyfood #japanesefood #foodie #foodbaby https://t.co/wjL3YUWUdg,2019-06-18,tourist,4.88871,52.35264,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
71,86.0,"Timmerpand.
-
-
-
-
#lankhorstmakelaars #aankoop #aankoopmakelaar #aankoopmakelaaramsterdam #timmeren #kluspand https://t.co/nOjTOybp3e",2019-06-24,non-tourist,4.93064722,52.35278889,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
72,87.0,#kbalsupernatural #vanbaerlestraat #97 #amsterdam #menhaircolor #manhaircolor #menhighlights #manhighlights https://t.co/09XQ4O6WhV,2019-06-19,non-tourist,4.88193794,52.35363912,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
73,88.0,"Mooie etalages, geslaagde inkoop en een uiterst gezellig en gastvrij onthaal weer overal.<U+0001F44C> #inkoop #fashion https://t.co/oPXsrqFc9w",2019-06-20,non-tourist,4.841130000000001,52.35456,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
74,89.0,"<U+0001F534> #AMSTERDAM #LFL03 <U+0001F681> A1 Albert Cuypstraat Amsterdam Incident 34955 MKL amsterdam
 https://t.co/Gh0gFbvKof",2019-06-24,non-tourist,4.889255,52.354745,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm Lifeliners</a>"
